Prioridad,ID,Acción,Descripción detallada,Impacto,Esfuerzo,Riesgo,Área,Tipo,Sprint,Estado
Alto,T11,"Añadir noindex en /buscar, /comparar, /mis-favoritos","Estas páginas no aportan valor SEO: /buscar genera URLs de búsqueda interna (thin content), /comparar es contenido dinámico sin URL estable, /mis-favoritos es datos locales de usuario. Añadir export const metadata con robots: { index: false }.",Medio,Bajo,Bajo,Técnico — Indexación,Dev,Quick Win,Pendiente
Alto,T12,Crear página /sobre-nosotros,"Página dedicada con: descripción clara de qué es Black Label Market, quién lo opera, su propósito y valores. Crítico para E-E-A-T y GEO. Schema Organization referenciando esta URL como aboutPage.",Alto,Medio,Bajo,Contenido — E-E-A-T,Dev + Copy,Semana 1-2,Pendiente
Alto,T13,Eliminar meta keywords del layout global,"La etiqueta <meta keywords> es ignorada por Google y añade ruido al HTML. Eliminar el campo keywords del objeto metadata en app/layout.tsx.",Bajo,Bajo,Bajo,Técnico — On-page,Dev,Quick Win,Pendiente
Alto,T14,Añadir H1 semántico en home,"La home no tiene un H1 semántico real. El texto del hero es un elemento visual display pero no un H1 HTML. Añadir un H1 que describa Black Label Market con la keyword principal.",Medio,Bajo,Bajo,On-page — Semántica,Dev,Quick Win,Pendiente
Alto,T15,Mejorar meta description de fichas de vehículo,"Formato actual: '[Marca Modelo Año] en venta en Black Label Market. Vehículo premium publicado por profesional seleccionado.' Mejorar: incluir precio (si no es consultar), km y ubicación cuando estén disponibles. Ejemplo: 'Ferrari 488 GTB 2019 · 24.000 km · Madrid · 189.000 € — Publicado por profesional verificado.'",Alto,Medio,Bajo,On-page — Snippets,Dev,Semana 1-2,Pendiente
Alto,T16,Crear landing /para-profesionales con metadata y copy SEO,"Landing específica para la intención B2B: cómo publicar en Black Label Market, criterios para profesionales, planes disponibles, CTA a /registro. Keywords: 'anunciar coche de lujo', 'marketplace coches premium profesionales', 'vender superdeportivo online'. Sin esta página se pierde el tráfico B2B con alta intención.",Alto,Medio,Bajo,Contenido — Arquitectura,Dev + Copy,30 días,Pendiente
Medio,T17,Añadir schema ItemList en /coches y /motos,"Implementar ItemList con los primeros vehículos del listado. Puede generar carrusel en SERPs móviles y mejora señal de topical authority.",Medio,Medio,Bajo,Schema — Rich Results,Dev,30 días,Pendiente
Medio,T18,Completar schema AutoDealer en perfiles de dealer,"Añadir a AutoDealer: url (página del dealer), openingHours si se conoce, priceRange cualitativo, sameAs hacia web del dealer si existe.",Medio,Bajo,Bajo,Schema — Rich Results,Dev,30 días,Pendiente
Medio,T19,Añadir breadcrumbs visuales en fichas y dealers,"Implementar nav de breadcrumb HTML visible: Home > Coches > Ferrari > Ferrari 488 GTB 2019. Mejora UX y contexto SEO.",Medio,Medio,Bajo,UX SEO — Navegación,Dev,30 días,Pendiente
Medio,T20,Mejorar title de páginas de marca,"Cambiar '[Marca] en venta' por '[Marca] en venta en España | Black Label Market'. Ejemplo: 'Ferrari en venta en España | Black Label Market'.",Medio,Bajo,Bajo,On-page — Metadatos,Dev,Semana 1-2,Pendiente
Medio,T21,Añadir texto introductorio en /coches y /motos,"Las páginas de listado empiezan directamente con el grid sin contexto textual. Añadir 2-3 frases sobre qué encontrarás en esa sección con keywords naturales. Ayuda al posicionamiento y a la comprensión por LLMs.",Medio,Bajo,Bajo,On-page — Contenido,Copy,Semana 1-2,Pendiente
Medio,T22,"Añadir /legal/criterios-publicacion y /legal/condiciones-profesionales al sitemap","Estas páginas tienen valor informativo y credibilidad. Añadirlas al sitemap con prioridad baja (0.3-0.4).",Bajo,Bajo,Bajo,Técnico — Rastreo,Dev,Quick Win,Pendiente
Medio,T23,Contenido editorial en páginas de marca top (Ferrari, Porsche, Ducati, BMW, Lamborghini),"Las páginas de marca son actualmente thin content: solo filtran inventario. Para las 5-10 marcas más buscadas, añadir párrafo editorial sobre la marca en el contexto del mercado de ocasión premium en España. 100-200 palabras por página.",Alto,Alto,Bajo,Contenido — Marcas,Copy,30-60 días,Pendiente
Medio,T24,Landing SEO /coches/clasicos,"Crear categoría para coches clásicos y youngtimers con contenido editorial propio. Intención: 'coche clásico en venta España', 'youngtimer España'. Baja competencia, alta diferenciación para BLM.",Alto,Alto,Bajo,Contenido — Arquitectura,Dev + Copy,30-60 días,Pendiente
Medio,T25,Landing SEO /coches/deportivos,"Crear categoría para coches deportivos con contenido editorial. Intención: 'coche deportivo segunda mano', 'deportivo de ocasión España'.",Alto,Alto,Bajo,Contenido — Arquitectura,Dev + Copy,30-60 días,Pendiente
Bajo,T26,Landing SEO /coches/lujo,"Crear categoría para luxury y executive. Intención: 'coche de lujo en venta España', 'Rolls-Royce segunda mano'.",Medio,Alto,Bajo,Contenido — Arquitectura,Dev + Copy,60-90 días,Pendiente
Bajo,T27,Guía editorial: Cómo comprar un supercar de segunda mano en España,"Guía completa con criterios de selección, qué revisar, cómo verificar el historial, preguntas al vendedor. Activo linkable de alto valor. Target: compradores en fase investigación.",Alto,Alto,Bajo,Contenido — Activos SEO,Copy,60-90 días,Pendiente
Bajo,T28,Guía editorial: Cómo vender tu coche premium con compradores cualificados,"Guía B2B para showrooms sobre cómo maximizar la conversión de leads de calidad. Target: profesionales en fase investigación.",Alto,Alto,Bajo,Contenido — B2B,Copy,60-90 días,Pendiente
Bajo,T29,Estrategia PR digital con medios especializados de motor,"Contacto con Motor1 España, CarAndDriver España, TopGear España. Comunicados de incorporación de dealers notables o vehículos excepcionales. Objetivo: menciones naturales y backlinks editoriales.",Alto,Alto,Medio,Link Building — PR,Marketing,60-90 días,Pendiente
Bajo,T30,Mejorar og:description explícita en fichas de vehículo,"Las fichas heredan la meta description como og:description. Añadir og:description explícita orientada al sharing social.",Bajo,Bajo,Bajo,On-page — Social,Dev,Backlog,Pendiente
Bajo,T38,Completar propiedades Offer en schema de fichas,"El schema Offer dentro de Car/MotorVehicle carece de: url (URL canónica de la ficha), itemCondition (schema:UsedCondition para vehículos de ocasión), seller.url (URL del dealer). Añadirlas para enriquecer el rich result de vehículo.",Bajo,Bajo,Bajo,Schema — Rich Results,Dev,Semana 1-2,Pendiente
Bajo,T39,OG image de fallback para perfiles de dealer sin cover_url,"Los perfiles de dealer sin cover_url no tienen og:image específica. Definir una imagen de fallback de marca (logo Black Label Market sobre fondo oscuro, 1200×630) para que aparezca al compartir un perfil de showroom sin imagen propia.",Bajo,Bajo,Bajo,On-page — Social,Dev + Diseño,30 días,Pendiente
Bajo,T31,Mejorar alt text en VehicleCard,"El alt actual es el título del vehículo. Mejorar incluyendo información contextual: 'Ferrari 488 GTB 2019 negro en venta en Madrid — Black Label Market'.",Bajo,Bajo,Bajo,On-page — Accesibilidad,Dev,Backlog,Pendiente
Bajo,T32,Glosario de términos del sector automotive,"Página /glosario con términos: youngtimer, servicebook, homologación especial, GT, superdeportivo, etc. Valor SEO para queries informacionales y GEO para entidades del sector.",Medio,Alto,Bajo,Contenido — GEO,Copy,Backlog,Pendiente
Bajo,T33,Ficha de Google Business Profile,"Si BLM tiene presencia física o dirección registrada, crear y optimizar ficha GBP. Refuerza señal local y E-E-A-T.",Medio,Medio,Bajo,E-E-A-T — Local,Marketing,Backlog,Pendiente
Backlog,T34,Sistema de reseñas verificadas + AggregateRating schema,"Implementar reseñas verificadas de compradores y dealers. Solo añadir schema AggregateRating cuando haya reviews reales — nunca antes. Fase 3+.",Alto,Muy Alto,Medio,E-E-A-T — Schema,Dev,Fase 3+,Pendiente
Backlog,T35,Landings por modelo prioritario (Porsche 911, Ferrari 488, Ducati Panigale),"Páginas de modelo con inventario histórico + contenido editorial. Solo viable cuando haya inventario suficiente de ese modelo.",Alto,Muy Alto,Bajo,Contenido — Long Tail,Dev + Copy,Fase 3+,Pendiente
Backlog,T36,Contenido GEO avanzado: preguntas y respuestas explícitas,"Sección de FAQ explícita con las 10-15 preguntas más frecuentes sobre Black Label Market. Marcado con FAQPage schema. Optimiza para ser citado por LLMs.",Alto,Medio,Bajo,Contenido — GEO,Copy,Fase 2-3,Pendiente
Backlog,T37,sameAs en Organization schema hacia perfiles externos verificados,"Cuando BLM tenga perfiles activos en LinkedIn, Instagram, y eventualmente Wikipedia o Wikidata, añadir sameAs en Organization. Mejora la confianza de LLMs sobre la entidad.",Alto,Bajo,Bajo,Schema — GEO,Dev,Fase 2+,Pendiente
